City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,110,228,-,-,-,100,120,129,-,60,-,-,71,-,-,80,88,100,-,-,-,102,-,105,144,-,103,-,-,-,-,139,-,49,-,-,127,-,-,-,-,-,-,-,-,60,-,138,37,41
Nice,-,-,-,184,-,-,-,233,-,-,-,-,-,-,-,-,194,-,-,-,-,-,449,-,96,286,34,-,-,-,-,119,-,-,-,-,78,-,-,-,-,-,-,-,-,-,-,-,-,374
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-
Paris,149,-,-,159,-,211,-,72,-,353,-,-,-,-,342,122,138,211,-,-,-,-,218,100,45,211,193,-,139,119,-,-,-,254,-,-,355,-,-,-,-,-,-,-,-,244,-,341,-,130
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prague,100,167,-,-,-,36,16,137,-,42,-,-,147,-,-,84,105,60,-,-,-,78,-,105,-,-,-,-,49,-,-,254,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,84,-,137
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,-,-,-,-,-,188,-,301,-,190,-,-,-,-,-,-,183,208,-,-,-,-,-,-,-,-,42,-,127,78,-,355,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,120
Sarajevo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seville,-,-,-,55,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,44,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Skopje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
