City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Hamburg,-,13h19,-,7h30,8h15,-,33h55,19h19,-,8h44,5h10,26h40,29h30,23h40,12h30,19h35,10h09,3h05,-,6h25,-,15h55,-,-,17h45,25h55,22h10,20h20,12h55,-,40h00,-,6h05,-,14h50,11h15,41h55,38h10,37h05,24h30,13h40,18h01,27h49,31h55,48h20,15h35,13h35,20h20,33h00,20h45
Helsinki,-,31h05,-,39h55,41h30,-,61h40,37h45,-,29h30,37h35,-,-,50h45,43h00,50h05,35h40,25h55,29h30,34h50,-,33h55,-,-,44h15,51h45,7h10,11h55,42h00,-,51h00,-,36h45,-,47h50,18h05,68h50,72h05,50h55,44h00,31h15,38h40,60h35,61h40,83h15,-,47h35,47h35,-,56h45
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,-,43h45,-,29h10,27h55,-,68h45,46h35,-,43h35,46h00,69h15,72h05,25h45,22h05,25h15,36h20,42h05,38h10,32h20,-,46h20,-,-,31h55,41h05,65h35,61h05,31h00,-,-,-,29h20,-,55h20,51h50,1h15,-,72h15,51h55,45h30,42h25,16h05,7h00,6h00,56h50,45h35,32h10,-,-
Ljubljana,-,4h45,-,19h56,18h46,-,15h30,1h55,-,9h13,25h00,35h39,38h40,13h05,17h46,15h31,5h10,14h13,18h01,11h06,-,6h00,-,-,6h00,10h39,28h40,25h10,15h21,-,51h15,-,18h06,-,37h01,15h55,49h40,42h25,27h05,7h32,6h05,-,22h30,34h15,53h30,40h00,-,14h35,-,-
London,-,29h10,-,8h50,7h30,-,49h40,33h20,-,25h00,27h00,60h00,56h45,24h00,8h25,15h40,22h15,19h11,20h45,16h00,-,32h25,-,-,-,31h15,42h10,37h15,14h40,-,-,-,11h40,-,-,27h25,-,-,-,-,-,-,-,-,-,-,24h05,17h10,7h50,-
Luxembourg City,-,14h50,-,3h30,2h35,-,38h30,19h50,-,12h20,20h20,35h00,42h00,16h25,5h05,6h50,8h50,11h15,12h55,2h15,-,19h20,-,-,9h50,19h20,30h25,28h35,-,-,52h55,-,5h55,-,31h40,19h15,30h00,31h00,46h50,27h05,14h02,15h21,16h25,23h05,41h20,32h20,6h30,10h15,28h40,14h40
Lyon,-,-,-,-,-,6h45,-,-,-,-,-,42h45,50h05,6h40,5h20,-,12h00,18h10,19h35,10h00,-,21h31,-,-,6h05,14h00,38h00,35h35,6h50,-,61h15,-,13h25,-,37h40,26h10,23h00,25h15,44h35,25h55,19h10,15h31,7h35,16h40,37h40,37h15,12h20,2h10,26h00,15h40
Madrid,-,36h40,-,22h55,20h15,-,58h20,37h40,-,31h30,37h55,58h50,61h40,17h15,15h55,16h40,30h10,34h50,31h55,26h45,-,39h25,-,-,23h00,33h40,55h10,55h25,23h05,-,-,-,23h35,-,47h15,42h00,6h15,7h00,64h40,46h55,38h15,34h15,7h20,-,6h11,49h05,37h25,21h25,-,-
Milan,-,11h56,-,13h40,12h25,-,26h25,9h50,-,12h40,25h55,40h40,44h15,4h45,11h40,6h05,6h35,15h50,17h45,10h30,-,10h00,-,-,-,7h25,35h30,32h30,9h50,-,32h00,-,15h55,-,37h55,23h05,35h40,31h55,44h30,17h00,15h00,6h00,13h15,23h00,33h30,39h15,3h45,5h15,-,-
Minsk,-,-,-,-,-,-,-,-,-,23h40,-,15h50,-,-,-,-,36h40,-,-,33h25,-,-,-,-,-,-,10h25,4h55,-,-,-,-,-,-,-,10h55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,-,5h00,36h40,12h55,11h55,-,21h55,7h30,-,4h30,16h50,32h30,35h40,11h45,11h10,12h00,-,7h20,10h09,5h00,-,8h10,-,-,6h35,11h30,27h10,24h35,8h50,-,29h00,-,11h10,-,29h20,14h20,40h40,36h20,28h30,14h00,6h25,5h10,21h40,30h10,45h00,28h45,4h50,9h20,33h20,22h15
Nice,-,17h16,-,19h20,17h20,-,35h45,15h35,-,17h50,34h10,48h30,50h45,-,12h45,6h40,11h45,21h35,23h40,16h10,-,21h05,-,-,4h45,9h40,42h05,40h15,16h25,-,56h25,-,20h45,-,45h45,28h25,27h20,25h45,40h45,24h55,20h26,13h05,8h20,17h15,28h00,45h45,22h10,8h40,35h15,24h00
Oslo,-,29h20,-,24h45,25h30,-,59h00,38h45,-,23h00,7h52,44h45,47h50,45h45,30h30,37h40,29h20,18h15,14h50,28h05,-,31h00,-,-,37h55,45h15,40h05,36h15,31h40,-,65h30,-,22h45,-,-,27h31,59h05,55h20,48h26,38h31,30h11,37h01,44h50,47h15,65h30,7h25,33h06,41h10,-,-
Paris,-,17h00,-,4h15,3h40,-,38h55,20h25,-,12h45,19h00,3h05,43h00,12h45,-,5h20,11h10,12h35,12h30,7h40,-,20h45,-,-,11h40,20h15,32h25,31h50,5h05,-,37h00,-,6h20,-,30h30,22h00,21h00,22h05,39h45,24h35,18h32,17h46,13h10,15h55,27h55,29h55,11h00,6h30,19h15,8h25
Podgorica,5h15,-,-,-,-,6h45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8h55,-,-,-,-,-,-,-,-,-,-
