City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Milan,-,12h55,-,-,-,-,-,-,-,-,-,-,-,4h58,11h40,7h05,7h11,17h22,12h27,8h44,-,19h10,-,-,-,2h56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h35,4h16,-,-
Rome,-,12h46,-,-,21h47,-,-,-,-,-,-,-,-,8h24,12h52,-,9h37,23h37,20h30,-,-,21h11,-,-,2h56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7h20,8h06,-,-
Riga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg City,-,11h48,-,-,-,-,-,-,-,11h59,18h53,-,-,-,2h12,5h41,5h44,8h33,8h06,4h16,-,15h00,-,-,-,-,-,-,-,-,-,-,-,-,-,17h24,-,-,-,-,-,-,-,-,-,-,6h47,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amsterdam,-,12h31,-,-,-,-,-,20h39,-,11h55,11h33,-,-,-,3h31,6h19,7h38,6h44,5h38,3h36,-,17h37,-,-,-,-,-,-,-,-,-,-,-,-,-,12h19,-,-,-,-,12h36,16h55,-,-,-,-,12h20,-,-,6h16
Skopje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h16,-,-,-,-
Warsaw,-,7h36,-,14h13,14h32,-,-,-,-,9h02,18h23,-,-,-,20h17,20h15,11h39,5h05,8h05,9h43,-,-,-,-,-,-,-,-,17h24,-,-,-,12h19,-,-,-,-,-,-,-,-,-,-,-,-,-,19h24,21h17,-,-
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h39,-,-,-,-,-,-,9h29,-,-,-,-,-
Lisbon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h39,-,-,-,-,-,14h21,8h48,7h23,-,-,-,-,-
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Belgrade,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bratislava,-,0h59,-,13h04,12h19,-,-,-,-,4h17,-,-,-,-,-,-,7h00,8h46,10h43,8h22,-,2h25,-,-,-,-,-,-,-,-,-,-,12h36,-,-,-,-,-,-,-,7h22,-,-,-,-,-,-,-,-,-
Ljubljana,-,5h40,-,19h24,16h38,-,-,2h22,-,10h28,24h47,-,-,-,-,-,7h00,14h05,13h37,10h41,-,-,-,-,-,-,-,-,-,-,-,-,16h55,-,-,-,-,-,-,-,-,-,-,-,-,-,15h26,17h51,-,-
Barcelona,-,-,-,-,12h17,-,-,-,-,-,-,-,-,8h35,6h45,4h59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h21,-,-,-,-,-,2h30,5h47,-,13h34,9h26,-,-
Madrid,-,-,-,-,15h23,-,-,-,-,-,-,-,-,12h42,10h28,8h05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8h48,-,-,-,-,2h30,-,2h33,-,-,-,-,-
Seville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9h29,7h23,-,-,-,-,5h47,2h33,-,-,-,-,-,-
Stockholm,-,-,-,-,-,-,-,-,-,-,5h23,-,-,-,-,-,-,20h59,12h19,21h46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zurich,-,8h53,-,8h22,7h37,-,-,18h03,-,10h56,17h30,-,-,10h58,4h34,7h58,4h35,8h28,8h34,4h38,-,12h10,-,-,3h35,7h20,-,-,6h47,-,-,-,12h20,-,-,19h24,-,-,-,-,-,15h26,13h34,-,-,-,-,2h45,-,-
Geneva,-,11h50,-,-,-,-,-,32h28,-,13h32,19h22,-,-,7h56,3h11,1h56,7h44,10h13,10h23,5h55,-,-,-,-,4h16,8h06,-,-,-,-,-,-,-,-,-,21h17,-,-,-,-,-,17h51,9h26,-,-,-,2h45,-,-,-
Edinburgh,-,-,-,-,8h03,-,-,-,-,-,-,-,-,-,7h55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h37
London,-,-,-,-,1h58,-,-,-,-,-,-,-,-,9h26,2h18,5h22,-,10h00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h37,-
