,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,24,-,10,-,-,-,-,-,-,16,-,-,-,5,11,-,-
Munich,11,13,-,22,14,7,6,12,29,8,29,41,17,-,33,5,9,10,36,-,36,5,22,9,12,30,7,37,-,12,29,11,-,5,-,27,12,-,45,-,22,29,33,-,-,5,25,14,8,5
Nice,21,19,-,8,25,22,20,17,41,21,56,27,34,-,35,16,9,24,51,-,26,13,24,16,7,17,5,-,12,-,46,13,-,18,-,42,10,-,28,-,36,46,49,-,-,17,40,28,16,22
Oslo,23,25,-,45,39,18,30,26,48,31,66,59,8,-,-,28,41,15,48,-,55,37,-,32,38,47,38,-,29,46,-,31,-,23,-,40,45,-,66,-,59,7,45,-,-,29,36,28,39,33
Paris,6,4,-,13,25,13,19,4,40,21,37,21,19,-,19,8,7,13,43,-,22,18,8,5,5,16,12,-,11,13,31,-,-,13,-,32,20,-,28,-,39,30,3,-,-,17,32,22,20,11
Podgorica,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,5,-,-,-,-,-,-
Prague,13,15,32,25,15,4,4,12,24,6,26,52,14,-,37,6,13,9,30,-,44,9,25,12,-,32,13,24,5,18,23,13,-,-,-,21,18,-,52,-,23,24,26,-,-,4,19,9,10,11
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riga,30,31,-,50,33,18,21,33,44,23,41,64,29,-,54,26,41,22,7,-,66,29,42,30,38,55,36,10,27,42,40,32,-,21,-,-,40,-,77,-,53,-,4,-,-,23,4,10,29,32
Rome,26,23,-,20,22,20,20,22,44,19,57,39,33,-,43,19,14,26,52,-,41,11,31,19,14,34,7,-,12,10,45,20,-,18,-,40,-,-,53,-,32,45,45,-,-,16,39,25,13,1
Sarajevo,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,8,-
Seville,41,38,-,19,-,52,-,37,-,57,-,10,56,-,-,43,50,48,83,-,6,54,-,41,38,6,34,-,45,28,66,28,-,52,-,77,53,-,-,-,80,-,80,-,-,52,70,62,55,-
Skopje,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
Sofia,35,-,12,53,22,32,17,-,7,15,-,66,40,-,59,25,33,34,62,-,69,16,50,39,-,58,26,-,22,36,59,39,-,23,-,53,32,7,80,5,-,58,58,-,-,-,46,33,13,37
Stockholm,23,24,-,45,49,19,30,25,-,32,-,61,10,-,-,28,41,16,-,-,57,40,-,32,37,49,39,-,29,46,7,30,-,24,-,-,45,-,-,-,58,-,-,-,-,29,43,29,35,34
Tallinn,34,36,-,55,38,23,27,38,49,28,48,66,34,-,-,31,45,27,-,-,69,36,60,35,43,59,41,16,33,49,45,3,-,26,-,4,45,-,80,-,58,-,-,-,-,27,8,14,34,41
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,17,18,-,29,9,-,1,18,18,3,24,53,19,-,40,10,15,13,31,-,44,5,29,15,-,37,12,-,5,17,29,17,-,4,-,23,16,-,52,-,-,29,27,-,-,-,18,9,5,16
Vilnius,28,26,-,46,29,15,20,29,39,20,39,64,26,-,50,25,34,20,12,-,61,25,37,29,36,55,33,5,25,40,36,32,-,19,-,4,39,-,70,-,46,43,8,-,-,18,-,6,25,33
Warsaw,18,18,-,37,20,7,9,20,29,11,30,58,17,-,40,13,26,11,18,-,52,16,27,19,26,42,23,11,14,28,28,22,-,9,-,10,25,-,62,-,33,29,14,-,-,9,6,-,15,21
Zagreb,22,22,-,25,6,15,6,21,23,4,44,66,26,-,45,25,17,19,38,-,47,2,33,20,-,38,10,-,8,16,39,20,-,10,-,29,13,8,55,-,13,35,34,-,-,5,25,15,-,20
Zurich,12,10,-,24,-,12,17,9,38,19,66,50,21,-,-,8,-,14,48,-,46,-,24,7,12,37,4,-,5,22,33,11,-,11,-,32,1,-,-,-,37,34,41,-,-,16,33,21,20,-
