City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Larnaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lisbon,399.0,425.0,-,99.0,-,358.0,364.0,322.0,-,379.0,-,14.0,324.0,-,592.0,347.0,243.0,367.0,-,-,28.0,395.0,468.0,335.0,209.0,39.0,317.0,-,353.0,283.0,444.0,250.0,-,348.0,-,-,361.0,-,44.0,-,-,392.0,-,-,-,363.0,-,425.0,390.0,343.0
Ljubljana,95.0,209.0,-,296.0,-,80.0,51.0,168.0,-,48.0,-,409.0,158.0,-,460.0,120.0,158.0,120.0,-,-,395.0,54.0,357.0,148.0,186.0,384.0,110.0,-,102.0,144.0,255.0,203.0,-,78.0,-,-,132.0,-,351.0,-,-,203.0,-,-,-,32.0,-,94.0,27.0,137.0
London,269.0,337.0,-,377.0,-,326.0,330.0,189.0,-,345.0,-,482.0,300.0,-,158.0,287.0,344.0,254.0,-,-,468.0,357.0,316.0,318.0,324.0,429.0,374.0,-,318.0,449.0,425.0,218.0,-,314.0,-,-,416.0,-,428.0,-,-,373.0,-,-,-,329.0,-,273.0,355.0,329.0
Luxembourg City,109.0,155.0,-,236.0,-,68.0,121.0,130.0,-,84.0,-,349.0,80.0,-,422.0,32.0,102.0,97.0,-,-,335.0,148.0,318.0,64.0,126.0,311.0,151.0,-,105.0,185.0,200.0,100.0,-,105.0,-,-,193.0,-,291.0,-,-,148.0,-,-,-,226.0,-,74.0,142.0,126.0
Lyon,260.0,216.0,-,110.0,-,149.0,155.0,117.0,-,170.0,-,223.0,115.0,-,387.0,145.0,34.0,191.0,-,-,209.0,186.0,324.0,126.0,68.0,201.0,125.0,-,144.0,96.0,235.0,45.0,-,139.0,-,-,167.0,-,165.0,-,-,183.0,-,-,-,154.0,-,325.0,181.0,314.0
Madrid,360.0,411.0,-,39.0,-,328.0,353.0,378.0,-,368.0,-,53.0,313.0,-,553.0,308.0,232.0,328.0,-,-,39.0,384.0,429.0,311.0,201.0,66.0,306.0,-,326.0,286.0,433.0,211.0,-,337.0,-,-,350.0,-,33.0,-,-,381.0,-,-,-,352.0,-,409.0,363.0,304.0
Milan,113.0,186.0,-,218.0,-,94.0,97.0,185.0,-,166.0,-,331.0,133.0,-,477.0,119.0,91.0,146.0,-,-,317.0,110.0,374.0,151.0,125.0,306.0,68.0,-,103.0,34.0,253.0,193.0,-,93.0,-,-,42.0,-,273.0,-,-,201.0,-,-,-,78.0,-,139.0,129.0,53.0
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,110.0,228.0,-,254.0,-,100.0,120.0,129.0,-,60.0,-,367.0,71.0,-,421.0,80.0,88.0,100.0,-,-,353.0,102.0,318.0,105.0,144.0,326.0,103.0,-,74.0,137.0,191.0,139.0,-,49.0,-,-,127.0,-,309.0,-,-,139.0,-,-,-,60.0,-,138.0,37.0,41.0
Nice,212.0,220.0,-,184.0,-,128.0,131.0,233.0,-,128.0,-,297.0,196.0,-,461.0,153.0,194.0,180.0,-,-,283.0,144.0,449.0,185.0,96.0,286.0,34.0,-,137.0,68.0,316.0,119.0,-,127.0,-,-,78.0,-,239.0,-,-,264.0,-,-,-,112.0,-,173.0,163.0,374.0
