,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Frankfurt,1.0,-,3.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,-,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,-,1.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0
Geneva,2.0,-,3.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,-,2.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,-,1.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
Hamburg,1.0,-,3.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,-,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,-,1.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0
Helsinki,3.0,-,4.0,4.0,3.0,2.0,6.0,3.0,4.0,3.0,4.0,-,2.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,-,3.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0
Larnaca,5.0,-,2.0,5.0,4.0,4.0,6.0,5.0,3.0,3.0,4.0,-,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0,5.0,5.0,6.0,4.0,-,4.0,4.0,5.0,5.0,4.0,4.0,8.0,5.0,4.0,4.0,7.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0
Lisbon,3.0,-,5.0,2.0,4.0,3.0,6.0,3.0,5.0,4.0,5.0,-,4.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,-,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0
Ljubljana,2.0,-,3.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,-,3.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,-,1.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0
London,1.0,-,4.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,-,2.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,-,2.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0
Luxembourg City,1.0,-,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,-,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,-,1.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
Lyon,2.0,-,3.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,-,2.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-,1.0,2.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
Madrid,3.0,-,4.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,-,3.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,-,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0
Milan,2.0,-,3.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,-,2.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,-,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0
Minsk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Munich,2.0,-,3.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,-,2.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,-,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
Nice,2.0,-,2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,-,2.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-,1.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
Oslo,2.0,-,4.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,-,1.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,-,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0
Paris,1.0,-,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,-,2.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,-,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
Podgorica,3.0,-,3.0,4.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,-,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,2.0,-,2.0,3.0,3.0,3.0,2.0,2.0,6.0,3.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0
Prague,2.0,-,3.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,-,1.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,-,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0
Reykjavik,3.0,-,6.0,4.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0,-,4.0,3.0,2.0,4.0,4.0,4.0,4.0,8.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,-,4.0,5.0,3.0,4.0,6.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,3.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0
Riga,2.0,-,4.0,4.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,-,1.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,-,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0
Rome,3.0,-,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,-,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,-,2.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
Sarajevo,3.0,-,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,-,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,-,2.0,3.0,3.0,3.0,2.0,2.0,6.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0
